,time,open,high,low,close,vol_,volume,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
4955,1664694000,19313.7,19313.7,19277.1,19278.2,4.4233123,85324.513918072,0,0,0,0,-100,0,0,0,0,-100,0,-100
4956,1664694300,19281.7,19281.7,19274.1,19275.1,0.44704189,8617.098045636,0,0,0,0,0,0,0,0,0,0,0,0
4957,1664694600,19275.1,19307.0,19269.1,19299.5,0.70393755,13577.853639086,0,0,0,0,0,0,0,0,0,0,0,0
4958,1664694900,19300.2,19300.2,19230.0,19265.5,9.86352873,189968.710422077,0,0,0,0,0,0,0,0,0,-100,0,0
4959,1664695200,19268.1,19274.8,19258.2,19274.8,0.42257774,8141.342135442,0,0,0,0,0,0,0,0,0,0,0,0
4960,1664695500,19267.6,19283.9,19267.6,19283.6,6.07438295,117134.598222874,0,0,0,0,0,0,0,0,0,0,0,0
4961,1664695800,19284.0,19294.9,19272.5,19287.4,6.17519887,119042.76144436,0,0,0,0,0,0,0,0,0,0,0,0
4962,1664696100,19286.9,19297.8,19283.9,19297.3,1.1491598,22167.540924372,0,0,0,0,0,0,0,0,0,0,0,0
4963,1664696400,19295.9,19295.9,19285.9,19291.1,0.0788812,1521.771844284,0,0,0,0,0,0,0,0,0,0,0,0
4964,1664696700,19294.4,19294.4,19288.1,19291.9,0.11165753,2153.954313906,0,0,0,0,0,0,0,0,0,0,0,0
4965,1664697000,19291.7,19300.0,19283.4,19283.4,0.20800228,4013.43774152,0,0,0,0,0,0,0,0,0,0,0,0
4966,1664697300,19283.5,19283.5,19275.1,19281.0,0.74073544,14279.782828606,0,0,0,0,0,0,0,0,0,0,0,0
4967,1664697600,19280.2,19288.1,19278.7,19284.8,0.07363379,1420.041188493,0,0,0,0,0,0,0,0,0,0,0,0
4968,1664697900,19283.1,19292.5,19274.1,19290.6,1.13359441,21856.801468497,0,0,0,0,100,0,0,0,0,0,0,0
4969,1664698200,19290.6,19299.5,19290.5,19290.6,0.49158743,9484.57648203,0,0,0,0,0,0,0,0,0,0,0,0
4970,1664698500,19290.6,19290.9,19290.5,19290.6,0.18803497,3627.307814746,0,0,0,0,0,0,0,0,0,0,0,0
4971,1664698800,19290.6,19290.6,19273.8,19283.1,0.18678739,3602.516828494,0,0,0,0,0,0,0,0,0,-100,0,0
4972,1664699100,19281.8,19281.8,19273.7,19273.8,0.21911704,4224.465665327,0,0,0,0,0,0,0,0,0,-100,0,-100
4973,1664699400,19273.7,19284.1,19271.5,19284.1,2.68984766,51843.168721454,0,0,0,0,0,0,0,0,0,0,0,100
4974,1664699700,19281.4,19286.4,19281.3,19281.3,0.19313846,3724.289935798,0,0,0,0,0,0,0,0,0,0,0,0
4975,1664700000,19281.4,19284.4,19281.4,19283.1,0.41593253,8019.980086119,0,0,0,0,0,0,0,0,0,0,0,0
4976,1664700300,19281.9,19282.9,19260.0,19261.9,6.90253989,133025.805157322,0,0,0,0,0,0,0,0,0,0,0,0
4977,1664700600,19262.0,19280.3,19262.0,19270.7,1.30391107,25126.36920067,0,0,0,0,0,0,0,0,0,100,0,0
4978,1664700900,19270.6,19272.1,19270.2,19271.6,0.13038457,2512.694351027,0,0,0,0,0,0,0,0,0,0,0,0
4979,1664701200,19271.6,19276.1,19271.3,19275.4,0.60123772,11586.952694588,0,0,0,0,0,0,0,0,0,0,0,0
4980,1664701500,19275.4,19282.2,19273.4,19282.2,0.73270821,14124.516160616,0,0,0,0,0,0,100,0,0,0,0,100
4981,1664701800,19281.8,19282.0,19280.0,19280.0,0.05111764,985.594532444,0,0,0,0,0,0,0,0,0,0,0,0
