,time,open,high,low,close,vol_,volume,btc_RSI,btc_MACD,btc_macsignal,btc_macdhist,btc_ADX,btc_Aroon,btc_Trendmode,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
88,1663297500,19746.6,19749.5,19735.8,19743.0,5.2288511,103213.066842251,51.65742590676249,-2.890764729352668,-2.937897621240861,0.04713289188819303,22.192222772225442,-7.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1663297800,19745.7,19745.7,19697.1,19706.3,0.44231538,8716.985478093,45.30905539334943,-4.168703843537514,-3.184058865700192,-0.9846449778373225,22.02204082166409,-7.142857142857143,0,0,0,0,0,0,0,0,0,0,-100,0,0
90,1663298100,19706.1,19708.2,19697.4,19704.3,4.8302358,95150.409641277,44.98460965392567,-5.271556674983003,-3.6015584275567543,-1.669998247426249,21.86401472471426,-7.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1663298400,19700.7,19715.3,19700.7,19711.4,1.5168474,29899.14694148,46.45057898045847,-5.683756535527209,-4.017998049150846,-1.6657584863763635,21.413568339882662,-7.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1663298700,19711.3,19726.6,19699.0,19710.3,2.29293577,45197.334825104,46.244978424061586,-6.0235835195635445,-4.419115143233386,-1.6044683763301588,20.522010907649026,-7.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1663299000,19709.6,19745.9,19709.6,19745.4,1.64932332,32561.56290088,53.34174840679984,-4.156792002857401,-4.366650515158189,0.2098585123007881,19.160499285697618,-7.142857142857143,0,0,0,0,0,0,0,0,0,0,100,0,100
94,1663299300,19734.7,19750.8,19733.0,19739.6,5.56197138,109776.512918258,52.117331217656584,-2.961398395593278,-4.085600091245206,1.1242016956519283,18.075171733276978,-7.142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0
95,1663299600,19739.7,19771.9,19737.8,19771.9,2.82349287,55815.15165865,57.91142599699892,-0.05880946734032477,-3.28024196646423,3.2214324991239054,17.79076864411576,78.57142857142857,1,0,0,0,0,0,0,0,0,0,100,0,100
96,1663299900,19772.1,19772.5,19723.2,19723.2,9.11788828,180120.773404111,48.40149903549206,-0.614916530175833,-2.7471768792065507,2.1322603490307177,16.93291360588231,85.71428571428572,0,0,0,0,0,0,0,0,0,0,-100,0,-100
97,1663300200,19720.1,19735.1,19719.8,19729.6,0.76501988,15088.600173058,49.57344587044929,-0.6758427753629803,-2.332910058437837,1.6570672830748565,16.00074997267966,85.71428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0
